Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act
36.76,3.07,36.70,12.65,36.49,3.88,36.45,6.93,36.13,6.50,36.96,5.98,36.28,9.80,36.89,13.28,36.94,4.45,36.21,2.33,36.46,5.18,36.53,3.45,36.84,6.98,36.71,11.32,36.56,3.12,36.59,7.25,36.44,3.52,36.01,2.40,36.74,2.18,36.56,11.50,36.70,9.67,36.64,4.47,36.31,6.67,36.95,15.65,36.33,4.62,36.78,4.90,36.05,3.35,36.07,1.12,36.46,2.02,36.93,10.78,37.09,6.10,36.89,11.03,36.58,7.87,37.05,9.93,36.25,0.68,36.56,0.77,36.05,1.08,36.36,1.45,36.85,4.35,36.51,16.78
38.58,13.85,38.77,15.37,37.31,15.72,38.36,15.15,38.19,18.07,38.57,13.95,38.57,18.30,38.40,14.68,38.15,18.55,37.65,14.40,37.57,12.57,38.40,16.80,38.43,21.62,37.59,16.03,38.48,20.45,38.10,17.12,38.47,20.22,38.13,25.30,37.45,10.65,38.60,12.45,37.95,17.03,38.54,14.23,38.71,18.42,38.50,17.80,38.75,19.10,38.84,19.88,37.58,13.98,37.56,13.47,38.05,20.87,38.67,19.32,38.76,15.85,37.75,14.65,38.49,19.23,37.92,13.08,37.84,20.62,38.27,14.48,38.16,12.62,38.30,18.03,38.95,11.27,38.53,16.90
40.34,23.47,40.19,17.33,39.61,28.65,40.15,21.42,39.79,26.07,40.05,21.93,39.83,25.62,39.96,26.10,39.97,24.52,39.78,24.40,39.96,28.22,40.17,25.63,39.59,30.60,39.37,31.75,39.95,27.22,40.02,25.15,40.41,25.43,39.70,30.77,39.86,16.20,39.75,25.03,39.95,26.35,39.80,26.13,40.09,28.13,40.40,21.73,40.22,23.67,40.34,24.98,39.60,28.43,39.83,25.03,39.64,24.58,40.06,26.88,39.83,24.78,39.71,27.63,40.19,28.80,39.94,15.22,40.12,21.62,39.93,20.88,39.98,19.90,39.92,25.57,40.14,16.57,40.10,21.55
40.53,23.58,40.40,21.92,40.07,29.23,40.23,22.97,40.29,27.32,40.16,25.07,40.18,27.10,40.22,32.28,40.11,22.50,40.09,28.15,40.51,28.85,40.05,25.62,39.78,25.13,39.42,29.20,39.95,25.58,40.03,30.70,40.34,28.63,40.17,35.17,40.54,16.48,40.03,22.82,40.25,30.10,39.89,29.57,40.19,24.78,40.48,21.32,40.44,23.40,40.63,26.47,40.34,29.08,40.14,25.92,39.97,27.67,40.10,26.48,39.88,28.20,39.87,31.42,40.28,31.07,40.04,25.27,40.27,29.33,40.20,10.55,40.32,18.15,40.08,27.95,40.36,17.60,40.29,22.22
40.72,23.95,40.38,19.92,39.87,29.53,40.39,24.02,40.54,27.82,40.23,25.47,39.96,29.73,40.19,30.47,40.11,27.33,40.03,30.95,40.59,32.53,40.06,24.57,40.13,22.70,39.65,27.72,40.11,29.22,39.95,28.03,40.39,29.30,40.26,39.20,40.59,18.80,40.11,25.43,40.19,32.53,39.95,31.28,40.28,23.78,40.50,22.20,40.48,26.33,40.46,25.05,40.32,32.08,40.28,25.30,40.12,28.15,39.99,26.25,40.15,28.63,39.99,33.37,40.38,27.38,40.14,21.08,40.50,24.50,39.90,15.57,40.45,21.12,40.10,25.80,40.06,26.27,40.31,22.70
40.60,24.80,40.31,17.55,40.06,33.57,40.59,21.93,40.68,30.80,40.31,22.97,40.00,32.35,40.30,31.17,40.13,27.15,40.05,39.57,40.53,33.72,40.02,31.40,40.57,34.47,39.58,36.43,40.16,23.10,40.11,25.02,40.51,30.08,40.44,39.53,40.54,21.38,40.11,28.50,40.37,31.50,40.04,21.93,40.47,25.72,40.70,21.07,40.56,24.72,40.74,27.98,40.33,35.47,40.45,27.82,40.19,27.97,40.17,28.07,40.37,30.82,39.82,32.98,40.45,28.35,40.10,23.70,40.68,24.47,40.22,24.08,40.61,22.88,40.28,30.92,40.16,26.18,40.52,21.92
40.58,26.67,40.58,16.92,40.05,37.98,40.70,22.07,40.57,26.35,40.25,20.95,40.08,32.03,40.30,32.08,40.23,30.25,40.22,34.77,40.57,37.48,40.05,33.55,41.45,36.60,39.85,39.58,40.30,23.87,40.39,25.43,40.60,34.93,40.49,35.37,40.81,22.98,40.39,28.87,40.81,33.50,40.08,27.30,40.67,28.63,40.82,20.53,40.72,29.30,40.57,29.88,40.59,34.93,40.65,30.52,40.54,28.75,40.26,31.92,40.66,30.03,39.99,31.12,40.38,36.43,40.35,25.45,40.60,28.32,40.40,24.65,40.95,20.07,40.50,33.08,40.46,21.98,40.55,26.27
40.69,27.20,40.62,12.93,40.31,39.13,40.91,26.18,40.63,31.67,40.50,19.87,40.31,31.33,40.34,25.63,40.43,30.93,40.32,32.98,40.87,34.17,39.85,31.25,39.18,15.12,40.06,38.87,40.28,23.40,40.37,24.22,40.71,29.17,40.63,32.40,40.88,17.63,40.63,25.40,40.49,42.73,40.32,34.27,40.73,29.33,40.81,24.63,40.84,30.77,40.84,27.57,40.65,37.33,40.53,29.82,40.60,30.73,40.42,27.95,40.73,34.52,40.22,22.85,40.62,33.27,40.30,29.75,40.69,35.53,40.40,19.95,40.63,24.45,40.50,31.23,40.54,25.42,40.61,26.10
40.86,28.38,40.73,14.00,40.43,37.12,41.18,26.53,40.62,36.90,40.56,17.95,40.53,32.82,40.44,29.53,40.64,30.80,40.39,30.78,40.87,41.52,40.11,35.35,35.79,14.52,40.13,40.63,40.45,27.43,40.53,21.22,40.83,29.60,40.89,39.20,40.86,18.50,40.61,26.93,40.80,38.10,40.29,33.32,41.08,36.35,40.99,24.93,40.98,32.52,41.25,29.52,40.73,39.60,40.90,26.43,40.93,30.55,40.49,28.92,40.66,33.60,40.39,27.35,40.54,27.42,40.45,29.07,40.95,36.17,40.41,21.27,40.93,23.62,40.65,30.70,40.58,24.55,40.68,21.00
41.00,25.40,41.08,16.87,40.55,34.38,41.44,23.53,41.03,36.77,40.80,21.90,40.71,30.82,40.50,28.63,40.77,31.12,40.53,38.30,40.78,44.27,40.16,38.83,35.24,7.68,40.32,43.35,40.69,28.30,40.52,22.15,41.12,33.85,40.78,36.93,41.05,18.20,40.61,27.28,40.92,40.53,40.37,34.53,41.56,35.65,41.20,24.58,41.23,35.23,41.60,28.32,40.74,36.90,41.42,26.22,41.33,30.90,40.55,29.10,41.16,39.00,40.42,21.28,40.88,35.83,40.41,23.78,41.05,36.90,40.46,18.27,41.02,24.05,40.90,35.57,40.73,26.97,40.71,27.62
41.87,28.43,41.16,14.82,40.86,40.00,36.26,16.33,40.89,34.38,41.25,18.92,41.33,34.83,40.64,20.05,40.71,26.48,40.97,45.23,41.14,41.53,40.36,47.18,35.14,3.43,40.45,41.83,40.91,27.92,40.68,23.13,41.63,24.17,41.05,42.13,41.38,19.28,40.58,29.20,41.11,38.40,40.56,34.13,40.78,23.40,41.31,28.55,41.70,30.48,39.51,13.30,41.11,30.23,40.10,18.83,41.61,23.30,40.90,23.57,41.24,36.95,40.37,21.15,41.04,29.00,40.68,25.95,40.99,36.18,40.67,18.02,40.85,24.47,41.67,38.10,40.81,27.30,40.83,23.43
