Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act,Tc,Act
36.95,12.08,36.41,3.60,36.11,4.95,35.42,2.30,35.71,5.48,35.71,2.92,35.68,6.47,36.83,12.67,35.84,2.00,36.34,3.28,35.93,7.75,37.15,11.98,36.54,5.00,35.53,2.03,36.36,5.07,35.92,0.63,37.13,16.72,37.01,3.73,36.59,12.05,36.85,7.48,37.03,6.67,37.27,12.05,37.25,4.58,36.71,16.08,35.77,23.85,35.91,17.02,35.94,7.02,36.39,5.87,35.99,3.80,35.65,1.78,37.17,16.78,36.84,4.03,36.94,16.30
37.99,19.93,38.33,17.82,38.12,20.90,38.30,14.52,38.31,21.43,38.10,12.25,38.64,20.25,38.34,18.13,38.12,13.83,38.28,16.03,38.35,15.00,38.74,19.45,38.39,10.93,38.44,11.13,38.13,16.88,38.04,17.10,38.10,14.92,39.32,13.98,38.38,15.58,39.17,17.22,38.25,11.98,38.07,15.18,38.10,7.67,38.00,17.15,37.02,17.30,38.62,17.70,38.09,15.77,38.86,13.53,38.08,13.43,37.41,17.27,37.96,20.23,38.01,21.38,38.80,18.67
40.18,25.60,39.96,27.25,39.89,26.75,40.10,21.08,40.08,25.67,40.26,16.72,39.87,32.40,39.67,25.77,39.79,23.23,39.88,26.95,39.99,25.95,40.13,31.23,39.98,25.45,40.24,18.82,39.94,26.18,40.15,25.43,40.00,25.48,40.48,19.63,40.22,26.83,40.56,22.98,40.30,20.48,40.01,20.68,39.66,19.42,39.87,24.73,39.97,20.02,39.95,23.07,39.81,23.87,39.96,25.72,39.68,27.83,39.76,28.40,39.80,28.48,40.03,27.85,40.33,29.67
40.45,25.45,40.41,26.93,40.22,30.43,40.35,25.50,40.58,27.67,40.51,20.28,40.26,32.28,40.58,23.72,40.11,22.52,40.01,27.50,40.27,25.70,40.46,32.03,40.27,27.05,40.53,16.27,40.36,26.92,40.16,23.48,40.39,25.63,40.41,19.97,40.28,30.10,40.54,22.07,40.49,21.05,40.43,22.48,39.76,23.85,40.12,26.32,40.35,27.90,40.11,24.93,40.25,28.87,39.85,28.63,39.70,31.43,40.33,28.90,40.17,30.63,40.37,31.45,40.72,28.08
40.48,23.18,40.46,26.92,40.40,26.45,40.36,24.50,40.62,23.67,40.33,20.25,40.30,36.43,40.43,26.05,40.24,25.00,40.17,25.30,40.28,25.37,40.49,33.82,40.36,30.93,40.45,25.03,40.48,26.70,40.17,25.77,40.47,23.45,40.49,20.45,40.37,34.67,40.70,26.15,40.58,21.65,40.60,23.33,39.96,21.77,40.20,30.03,40.28,28.37,40.26,21.43,40.28,28.82,39.89,26.37,39.82,32.87,40.38,27.58,40.32,32.08,40.42,32.47,40.74,30.18
40.57,25.85,40.58,28.72,40.52,32.67,40.48,25.23,40.58,25.77,40.49,17.82,40.35,38.17,40.55,26.68,40.49,23.80,40.23,28.38,40.15,25.45,40.49,26.43,40.42,31.70,40.61,38.68,40.73,26.08,40.21,21.82,40.52,20.70,40.61,21.28,40.62,33.08,40.82,25.53,40.62,28.62,40.59,22.22,40.09,21.08,40.31,29.43,40.43,27.10,40.55,26.30,40.38,28.32,39.95,32.33,39.78,34.27,40.31,29.08,40.58,30.48,40.68,30.88,40.50,36.65
40.68,25.28,40.55,38.23,40.57,39.83,40.52,22.70,40.70,25.23,40.56,18.27,40.55,33.77,40.34,23.40,40.58,25.55,40.33,29.37,40.35,24.10,40.63,29.35,40.48,37.30,40.46,30.10,40.82,29.12,40.36,26.82,40.67,27.40,40.82,25.42,40.86,29.07,40.97,30.45,41.00,21.27,40.77,19.27,40.41,18.00,40.47,28.22,40.48,34.12,40.75,25.82,40.67,30.00,40.06,33.40,40.00,35.83,40.22,30.47,40.72,33.27,40.66,29.93,40.61,37.00
40.72,26.58,40.63,32.37,40.73,35.38,40.67,22.33,40.72,31.73,40.83,16.08,40.72,39.38,40.47,25.22,40.63,20.30,40.30,27.52,40.27,24.80,40.66,27.55,40.64,39.10,40.76,33.80,41.11,25.82,40.56,26.88,40.98,26.82,40.91,21.75,41.13,31.75,41.13,29.45,40.85,23.85,40.97,20.88,40.46,18.25,40.79,33.70,40.72,28.35,41.53,27.63,40.79,34.08,40.09,35.23,40.12,40.00,40.28,28.65,41.01,33.20,40.92,27.23,40.75,42.15
40.92,29.32,40.76,36.70,41.20,38.90,40.75,26.22,40.83,31.48,40.69,13.08,40.91,38.37,40.58,26.08,40.79,28.92,40.31,30.97,40.55,18.90,40.88,33.43,40.81,37.58,40.77,25.30,41.20,32.20,40.88,30.10,41.14,31.55,40.95,27.02,41.21,36.38,41.36,29.78,40.89,20.28,41.00,19.70,40.57,21.60,41.09,33.18,40.99,24.95,39.28,17.23,40.98,33.22,40.34,35.05,40.22,39.88,40.55,31.33,41.47,35.33,40.91,24.77,41.13,40.98
41.25,29.00,40.91,33.13,41.41,32.15,41.01,23.18,41.10,29.52,40.77,13.22,41.14,40.88,40.63,27.22,40.93,28.02,40.55,34.38,40.54,24.52,41.17,36.78,40.96,38.77,40.74,25.03,41.67,28.20,41.11,31.40,41.10,32.35,41.16,25.90,41.68,34.97,42.13,25.42,41.22,24.15,40.98,25.12,40.73,22.42,41.50,33.55,41.06,24.87,35.68,9.47,41.02,30.30,40.58,35.52,40.61,40.77,40.61,32.97,41.84,33.60,40.96,20.05,41.08,25.23
